127.0.0.1 - - [06/Jun/2023:12:10:40 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/images/Group-members.jpg HTTP/1.1" 200 1193770
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/Search.jsp HTTP/1.1" 200 33409
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:44 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/search1.jsp?keyword=sample HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/Search.jsp?failed HTTP/1.1" 200 33499
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:49 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:56 +0530] "GET /DataSharing/search1.jsp?keyword=sample.txt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:56 +0530] "GET /DataSharing/Search.jsp?failed HTTP/1.1" 200 33499
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:56 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:56 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
